"Назва оригінальна","Переклад назви","Опис українською"
"Invoice id","Ідентифікатор чека","Комп’ютерно генерований номер ідентифікації чека продажу"
"Branch","Філія","Філія супермаркету (доступні 3 філії, ідентифіковані як A, B та C)"
"City","Місто","Місцезнаходження суперцентрів"
"Customer type","Тип клієнта","Тип клієнтів, зафіксований як Члени для клієнтів, що використовують картку члена, та Звичайні без картки"
"Gender","Стать","Стать покупця"
"Product line","Лінійка продуктів","Загальні групи категоризації товарів - Електронні аксесуари, Модні аксесуари, Їжа та напої, Здоров’я та краса, Дім і стиль життя, Спорт та подорожі"
"Unit price","Ціна за одиницю","Ціна кожного продукту в доларах США"
"Quantity","Кількість","Кількість продуктів, придбаних клієнтом"
"Tax","Податок","5% податковий збір для покупця"
"Total","Загальна сума","Загальна ціна з урахуванням податку"
"Date","Дата","Дата покупки (Дані доступні з січня 2019 по березень 2019)"
"Time","Час","Час покупки (з 10:00 до 21:00)"
"Payment","Оплата","Метод оплати, використаний клієнтом для покупки (доступні 3 методи – Готівка, Кредитна картка та Електронний гаманець)"
"COGS","Собівартість проданих товарів","Собівартість проданих товарів"
"Gross margin percentage","Відсоток валового прибутку","Відсоток валового прибутку"
"Gross income","Валовий дохід","Валовий дохід"
"Rating","Рейтинг","Рейтинг задоволення клієнтів від загального досвіду покупок (На шкалі від 1 до 10)"
